Código Municipio;Municipio ;Código Departamento;Departamento;Actividades primarias *;Actividades secundarias **;Actividades terciarias ***;"Valor agregado
";Peso relativo municipal en el valor agregado departamental (%)
76606;RESTREPO;76;Valle Del Cauca;484.6768279;26.51943354;289.9543229;801.1505843; 0.6 
76616;RIOFRIO;76;Valle Del Cauca;217.2124208;106.1577493;194.132692;517.5028621; 0.4 
76622;ROLDANILLO;76;Valle Del Cauca;349.654302;33.24663482;501.9742133;884.8751501; 0.6 
76670;SAN PEDRO;76;Valle Del Cauca;353.3853959;33.71478639;225.6365384;612.7367207; 0.4 
76736;SEVILLA;76;Valle Del Cauca;911.6225877;57.95887073;576.5616676;1546.143126; 1.1 
76823;TORO;76;Valle Del Cauca;83.93920582;10.91867046;181.6256639;276.4835402; 0.2 
76828;TRUJILLO;76;Valle Del Cauca;241.2274175;18.59054889;229.7744506;489.5924169; 0.4 
76834;TULUA;76;Valle Del Cauca;376.916533;629.2006515;4221.668327;5227.785511; 3.8 
76845;ULLOA;76;Valle Del Cauca;99.35938028;6.790354385;76.78016937;182.929904; 0.1 
76863;VERSALLES;76;Valle Del Cauca;164.2074945;10.62524036;103.3307666;278.1635014; 0.2 
76869;VIJES;76;Valle Del Cauca;238.9283369;20.21773492;186.5538741;445.6999459; 0.3 
76890;YOTOCO;76;Valle Del Cauca;260.7336018;197.2451858;268.2213911;726.2001787; 0.5 
76892;YUMBO;76;Valle Del Cauca;114.3936863;7839.940438;4554.5277;12508.86182; 9.1 
76895;ZARZAL;76;Valle Del Cauca;268.8797492;671.162034;709.9429194;1649.984703; 1.2 
81001;ARAUCA;81;Arauca;1945.058248;58.47031454;901.9576635;2905.486226; 34.1 
81065;ARAUQUITA;81;Arauca;1647.744483;37.79881857;425.8233489;2111.366651; 24.8 
81220;CRAVO NORTE;81;Arauca;44.87929456;4.162768695;42.73906062;91.78112387; 1.1 
81300;FORTUL;81;Arauca;185.1779283;17.07176033;173.4646375;375.7143261; 4.4 
81591;PUERTO RONDON;81;Arauca;86.02895481;6.430947525;49.65861889;142.1185212; 1.7 
81736;SARAVENA;81;Arauca;293.6455361;43.73649167;602.2164688;939.5984966; 11.0 
81794;TAME;81;Arauca;1267.880728;234.4933787;460.5689668;1962.943074; 23.0 
85001;YOPAL;85;Casanare;2366.701065;412.7210717;3939.150246;6718.572383; 30.3 
85010;AGUAZUL;85;Casanare;1363.657855;186.7942619;631.7263145;2182.178431; 9.8 
85015;CHAMEZA;85;Casanare;18.20100109;2.158840008;36.45387359;56.81371469; 0.3 
85125;HATO COROZAL;85;Casanare;207.9388607;13.98240314;162.43178;384.3530439; 1.7 
85136;LA SALINA;85;Casanare;2.809236295;0.908782613;19.20056842;22.91858732; 0.1 
85139;MANI;85;Casanare;657.5844661;28.48032432;277.6944957;963.7592861; 4.3 
85162;MONTERREY;85;Casanare;65.74244915;13.18577236;266.8725288;345.8007503; 1.6 
85225;NUNCHIA;85;Casanare;174.7993474;13.70903245;194.2188356;382.7272155; 1.7 
85230;OROCUE;85;Casanare;1069.01011;111.833918;183.7031207;1364.547149; 6.2 
85250;PAZ DE ARIPORO;85;Casanare;1010.631069;40.87117685;549.6799267;1601.182173; 7.2 
85263;PORE;85;Casanare;164.9959778;81.12552844;160.2254715;406.3469777; 1.8 
85279;RECETOR;85;Casanare;6.785091484;1.190051444;22.37004504;30.34518797; 0.1 
85300;SABANALARGA;85;Casanare;10.30785819;2.873593142;59.33059364;72.51204497; 0.3 
85315;SACAMA;85;Casanare;7.288917038;1.527463911;29.5590567;38.37543765; 0.2 
85325;SAN LUIS DE PALENQUE;85;Casanare;545.8097579;13.9002613;115.0899413;674.7999605; 3.0 
85400;TAMARA;85;Casanare;35.42949073;4.908063691;85.35368696;125.6912414; 0.6 
85410;TAURAMENA;85;Casanare;2036.775258;29.09081454;397.0050758;2462.871148; 11.1 
85430;TRINIDAD;85;Casanare;310.5988761;14.80242119;190.5000234;515.9013206; 2.3 
85440;VILLANUEVA;85;Casanare;3142.527761;130.1525592;558.7306046;3831.410925; 17.3 
86001;MOCOA;86;Putumayo;202.5080827;64.97097318;727.6594645;995.1385203; 17.8 
86219;COLON;86;Putumayo;13.38502549;4.024126071;34.29512773;51.70427929; 0.9 
86320;ORITO;86;Putumayo;344.4170956;88.3137535;424.3338598;857.0647089; 15.3 
86568;PUERTO ASIS;86;Putumayo;697.3320018;70.95514743;760.1235567;1528.410706; 27.3 
86569;PUERTO CAICEDO;86;Putumayo;35.22213355;9.277958956;91.04748607;135.5475786; 2.4 
86571;PUERTO GUZMAN;86;Putumayo;112.8291578;24.39782191;176.2502264;313.4772061; 5.6 
86573;PUERTO LEGUIZAMO;86;Putumayo;69.69549179;21.44169066;184.3579543;275.4951368; 4.9 
86749;SIBUNDOY;86;Putumayo;12.78868027;9.096779407;94.99517845;116.8806381; 2.1 
86755;SAN FRANCISCO;86;Putumayo;5.622996953;3.406671534;34.74120085;43.77086934; 0.8 
86757;SAN MIGUEL;86;Putumayo;80.87092848;12.53326004;129.224353;222.6285415; 4.0 
86760;SANTIAGO;86;Putumayo;47.17774178;8.119793969;49.03023325;104.327769; 1.9 
86865;VALLE DEL GUAMUEZ;86;Putumayo;43.19324977;20.79568641;220.2305938;284.21953; 5.1 
86885;VILLAGARZON;86;Putumayo;475.486685;17.02764152;180.9538784;673.4682049; 12.0 
88001;SAN ANDRES;88;San Andres, Providencia y Santa Catalina (Archipielago);33.24689563;69.04366961;1792.598906;1894.889471; 90.5 
88564;PROVIDENCIA;88;San Andres, Providencia y Santa Catalina (Archipielago);5.966507125;4.373886275;189.107525;199.4479184; 9.5 
91001;LETICIA;91;Amazonas;233.9337028;45.35261626;637.6800713;916.9663904; 79.7 
91263;EL ENCANTO;91;Amazonas;0.20810841;0.546770431;19.52098342;20.27586226; 1.8 
91405;LA CHORRERA;91;Amazonas;0.057342054;0.378432525;13.62706968;14.06284426; 1.2 
