DP;Departamento;MPIO;Municipio;Superficie;PopTot;Rural;Region;depa_nombre;muni_nombre;nombre_prestador;nit_prestador;clase_prestador;ese;naturaleza_juridica;caracter_territorial;nivel_atencion;nombre_sede_prestador;FECHA_RENOVACION_CICLO;FECHA_ULTIMA_ACREDITACION;fecha_vencimiento_acreditacion;fecha_generacion_este_reporte;field15;field16;field17;field18;field19;field20;field21;field22;field23;field24;field25;field26;field27;field28;field29;field30;field31;field32;field33;field34;field35;C�digo Municipio;Municipio:1;C�digo Departamento;Departamento:1;Actividades primarias *;Actividades secundarias **;Actividades terciarias ***;Valor agregado;Peso relativo municipal en el valor agregado departamental (%)
5;Antioquia;5315;GUADALUPE;114.572444;7015;0.599;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5315;GUADALUPE;5;Antioquia;15.78161626;4.927323866;76.61013101;97.31907113;0
5;Antioquia;5315;GUADALUPE;114.572444;7015;0.599;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41319;GUADALUPE;41;Huila;98.46076062;18.72639563;143.4435599;260.6307162;1
5;Antioquia;5315;GUADALUPE;114.572444;7015;0.599;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68320;GUADALUPE;68;Santander;34.16947818;5.758638402;53.55211604;93.48023262;0.1
5;Antioquia;5318;GUARNE;152.6739931;60148;0.614;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5318;GUARNE;5;Antioquia;111.6070068;1009.76054;939.006878;2060.374425;1
5;Antioquia;5321;GUATAPE;80.34241449;9072;0.309;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5321;GUATAPE;5;Antioquia;9.497560418;30.49684214;662.4659292;702.4603317;0.3
5;Antioquia;5347;HELICONIA;103.9160715;5754;0.511;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5347;HELICONIA;5;Antioquia;26.68291052;4.623041047;61.25382482;92.55977639;0
5;Antioquia;5353;HISPANIA;58.78416212;5876;0.322;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5353;HISPANIA;5;Antioquia;48.62889389;5.828664908;67.35507554;121.8126343;0.1
5;Antioquia;5360;ITAGUI;21.05264798;301428;0.077;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5360;ITAGUI;5;Antioquia;2.707280967;4354.375769;7262.024479;11619.10753;5.5
5;Antioquia;5361;ITUANGO;2959.605345;29074;0.681;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5361;ITUANGO;5;Antioquia;80.39492719;19.53665868;281.361714;381.2932999;0.2
5;Antioquia;5364;JARDIN;216.0955838;15637;0.422;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5364;JARDIN;5;Antioquia;144.3888902;18.64877745;235.5367459;398.5744135;0.2
5;Antioquia;5368;JERICO;195.9171391;14576;0.388;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5368;JERICO;5;Antioquia;248.9436033;20.72702908;180.8891284;450.5597608;0.2
5;Antioquia;5368;JERICO;195.9171391;14576;0.388;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15368;JERICO;15;Boyaca;38.24637919;5.708434481;47.34613911;91.30095278;0.2
5;Antioquia;5376;LA CEJA;136.3663491;70868;0.116;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5376;LA CEJA;5;Antioquia;138.754852;134.6820852;1141.715334;1415.152271;0.7
5;Antioquia;5380;LA ESTRELLA;39.832354;78143;0.12;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5380;LA ESTRELLA;5;Antioquia;14.34851027;1399.863637;1782.106129;3196.318277;1.5
5;Antioquia;5390;LA PINTADA;53.54083469;8689;0.092;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5390;LA PINTADA;5;Antioquia;41.23828652;55.60822718;156.6669897;253.5135034;0.1
5;Antioquia;5400;LA UNION;154.6934089;23240;0.35;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5400;LA UNION;5;Antioquia;132.244374;48.35996426;338.0413855;518.6457237;0.2
5;Antioquia;5400;LA UNION;154.6934089;23240;0.35;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52399;LA UNION;52;Nari�o;130.2166793;20.1579336;206.4937723;356.8683852;1.6
5;Antioquia;5400;LA UNION;154.6934089;23240;0.35;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70400;LA UNION;70;Sucre;67.70210932;8.654876158;64.98927785;141.3462633;1.2
5;Antioquia;5400;LA UNION;154.6934089;23240;0.35;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76400;LA UNION;76;Valle Del Cauca;271.9203298;36.94821586;494.9123336;803.7808794;0.6
5;Antioquia;5411;LIBORINA;211.2434543;10709;0.716;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5411;LIBORINA;5;Antioquia;49.27613597;8.495088552;113.8659405;171.637165;0.1
5;Antioquia;5425;MACEO;376.6310495;8785;0.567;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5425;MACEO;5;Antioquia;67.38122063;8.427014439;110.1467863;185.9550214;0.1
5;Antioquia;5440;MARINILLA;119.3426165;70392;0.266;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5440;MARINILLA;5;Antioquia;452.8695024;722.7463379;981.2817604;2156.897601;1
